INFO: [2023-11-24 22:32:38] genewalk.deepwalk - Walks for 15000/43209 nodes complete in 98.23s
INFO: [2023-11-24 22:32:38] genewalk.deepwalk - Walks for 15100/43209 nodes complete in 98.44s
INFO: [2023-11-24 22:32:38] genewalk.deepwalk - Walks for 15200/43209 nodes complete in 98.65s
INFO: [2023-11-24 22:32:38] genewalk.deepwalk - Walks for 15300/43209 nodes complete in 98.82s
INFO: [2023-11-24 22:32:39] genewalk.deepwalk - Walks for 15400/43209 nodes complete in 99.09s
INFO: [2023-11-24 22:32:39] genewalk.deepwalk - Walks for 15500/43209 nodes complete in 99.42s
INFO: [2023-11-24 22:32:39] genewalk.deepwalk - Walks for 15600/43209 nodes complete in 99.72s
INFO: [2023-11-24 22:32:39] genewalk.deepwalk - Walks for 15700/43209 nodes complete in 100.02s
INFO: [2023-11-24 22:32:40] genewalk.deepwalk - Walks for 15800/43209 nodes complete in 100.46s
INFO: [2023-11-24 22:32:40] genewalk.deepwalk - Walks for 15900/43209 nodes complete in 100.86s
INFO: [2023-11-24 22:32:41] genewalk.deepwalk - Walks for 16000/43209 nodes complete in 101.19s
INFO: [2023-11-24 22:32:41] genewalk.deepwalk - Walks for 16100/43209 nodes complete in 101.45s
INFO: [2023-11-24 22:32:41] genewalk.deepwalk - Walks for 16200/43209 nodes complete in 101.74s
INFO: [2023-11-24 22:32:42] genewalk.deepwalk - Walks for 16300/43209 nodes complete in 102.08s
INFO: [2023-11-24 22:32:42] genewalk.deepwalk - Walks for 16400/43209 nodes complete in 102.68s
INFO: [2023-11-24 22:32:42] genewalk.deepwalk - Walks for 16500/43209 nodes complete in 102.92s
INFO: [2023-11-24 22:32:43] genewalk.deepwalk - Walks for 16600/43209 nodes complete in 103.30s
INFO: [2023-11-24 22:32:43] genewalk.deepwalk - Walks for 16700/43209 nodes complete in 103.64s
INFO: [2023-11-24 22:32:43] genewalk.deepwalk - Walks for 16800/43209 nodes complete in 103.81s
INFO: [2023-11-24 22:32:44] genewalk.deepwalk - Walks for 16900/43209 nodes complete in 104.04s
INFO: [2023-11-24 22:32:44] genewalk.deepwalk - Walks for 17000/43209 nodes complete in 104.40s
INFO: [2023-11-24 22:32:44] genewalk.deepwalk - Walks for 17100/43209 nodes complete in 104.74s
INFO: [2023-11-24 22:32:45] genewalk.deepwalk - Walks for 17200/43209 nodes complete in 105.18s
INFO: [2023-11-24 22:32:45] genewalk.deepwalk - Walks for 17300/43209 nodes complete in 105.71s
INFO: [2023-11-24 22:32:46] genewalk.deepwalk - Walks for 17400/43209 nodes complete in 106.08s
INFO: [2023-11-24 22:32:47] genewalk.deepwalk - Walks for 17500/43209 nodes complete in 107.98s
INFO: [2023-11-24 22:32:48] genewalk.deepwalk - Walks for 17600/43209 nodes complete in 108.26s
INFO: [2023-11-24 22:32:48] genewalk.deepwalk - Walks for 17700/43209 nodes complete in 108.60s
INFO: [2023-11-24 22:32:48] genewalk.deepwalk - Walks for 17800/43209 nodes complete in 109.03s
INFO: [2023-11-24 22:32:49] genewalk.deepwalk - Walks for 17900/43209 nodes complete in 109.41s
INFO: [2023-11-24 22:32:49] genewalk.deepwalk - Walks for 18000/43209 nodes complete in 109.77s
